
2024/04/25 (11:47:43) | ===> btop++ v.1.3.2
2024/04/25 (11:47:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/25 (23:47:12) | ===> btop++ v.1.3.2
2024/04/25 (23:47:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/03 (21:28:55) | ===> btop++ v.1.3.2
2024/05/03 (21:28:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/10 (11:10:43) | ===> btop++ v.1.3.2
2024/08/10 (11:10:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (19:58:26) | ===> btop++ v.1.3.2
2024/08/12 (19:58:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (08:00:15) | ===> btop++ v.1.3.2
2024/09/18 (08:00:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (11:34:59) | ===> btop++ v.1.4.0
2024/10/01 (11:34:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
